barcode,age_category,round,treatment,hours,R_mean,R_sd,R_median,G_mean,G_sd,G_median,B_mean,B_sd,B_median
UCSB-IZC00063995,freezer,2,humid,31,43.407,38.572,44,95.23,44.718,102,47.073,31.729,50
UCSB-IZC00064001,freezer,2,humid,31,32.618,37.468,17,101.532,41.863,102,60.143,35.597,61
UCSB-IZC00064320,freezer,2,dry,31,107.644,47.298,105,126.101,52.484,129,45.726,26.41,46
UCSB-IZC00045248,freezer,2,dry,48,35.364,29.026,33,101.095,41.775,101,65.692,29.143,65
UCSB-IZC00045541,freezer,2,dry,48,13.019,19.676,3,93.048,44.895,96,66.732,33.385,68
UCSB-IZC00062771,freezer,2,dry,48,30.734,31.976,19,113.508,47.02,118,80.119,34.9,81
UCSB-IZC00062795,freezer,2,humid,48,47.64,34.876,50,105.67,50.331,111,62.629,33.043,63
UCSB-IZC00062797,freezer,2,humid,48,93.454,32.322,94,120.969,38.805,120,48.318,19.915,48
UCSB-IZC00062804,freezer,2,humid,48,75.299,42.148,78,115.504,47.106,119,46.84,29.347,47
UCSB-IZC00062816,freezer,2,humid,48,84.595,37.199,85,114.239,44.027,114,60.115,27.546,58
UCSB-IZC00063968,freezer,2,dry,48,12.548,21.387,2,92.838,44.427,93,77.1,35.222,77
UCSB-IZC00063974,freezer,2,dry,48,39.993,35.274,38,106.566,40.661,107,71.966,32.241,70
UCSB-IZC00063995,freezer,2,humid,48,71.622,40.509,75,119.82,48.954,122,65.984,33.094,63
UCSB-IZC00064001,freezer,2,humid,48,38.399,34.388,37,129.269,46.289,129,81.111,33.579,81
UCSB-IZC00064320,freezer,2,dry,48,35.198,28.088,35,107.716,44.628,108,65.868,28.213,65
UCSB-IZC00045248,freezer,2,dry,55,30.185,24.834,27,75.373,34.459,72,51.402,23.776,48
UCSB-IZC00045541,freezer,2,dry,55,14.801,20.844,5,84.528,43.345,78,63.852,32.922,58
UCSB-IZC00062771,freezer,2,dry,55,26.277,28.258,17,91.993,42.609,92,68.927,32.591,67
UCSB-IZC00062795,freezer,2,humid,55,45.976,30.963,48,106.229,41.234,108,64.03,28.065,61
UCSB-IZC00062797,freezer,2,humid,55,77.713,25.51,77,102.828,31.928,101,43.913,12.95,43
UCSB-IZC00062804,freezer,2,humid,55,78.643,38.914,79,136.521,34.902,133,52.613,29.07,49
UCSB-IZC00062816,freezer,2,humid,55,75.314,30.279,76,102.279,36.5,102,54.786,21.115,53
UCSB-IZC00063968,freezer,2,dry,55,10.131,18.172,1,95.566,33.623,93,79.663,29.695,76
UCSB-IZC00063974,freezer,2,dry,55,32.339,26.352,32,92.362,31.487,92,65.445,25.105,63
UCSB-IZC00063995,freezer,2,humid,55,60.952,31.705,60,102.331,39.239,104,55.697,22.65,53
UCSB-IZC00064001,freezer,2,humid,55,41.76,31.329,41,117.127,35.241,118,66.989,24.015,62
UCSB-IZC00064320,freezer,2,dry,55,31.988,28.152,28,94.634,41.238,91,63.979,28.993,59
