barcode,age_category,round,treatment,hours,R_mean,R_sd,R_median,G_mean,G_sd,G_median,B_mean,B_sd,B_median
UCSB-IZC00037139,collections,1,humid,48,77.079,40.03,80,77.164,36.566,81,33.569,20.826,36
UCSB-IZC00038809,collections,1,humid,48,77.594,47.488,78,103.346,50.906,102,38.828,27.192,37
UCSB-IZC00041536,collections,1,humid,48,71.682,45.097,78,75.657,40.88,80,30.714,20.432,33
UCSB-IZC00041550,collections,1,humid,48,84.595,39.921,89,111.162,42.605,115,40.167,22.892,39
UCSB-IZC00042037,collections,1,dry,48,25.409,29.795,10,63.563,42.318,63,42.04,32.91,41
UCSB-IZC00042297,collections,1,dry,48,30.832,32.002,21,86.761,40.791,93,59.268,32.054,65
UCSB-IZC00043430,collections,1,dry,48,8.344,17.791,1,53.094,40.194,51,51.197,40.128,46
UCSB-IZC00047045,collections,1,humid,48,101.328,44.063,106,82.338,37.208,88,35.02,20.31,36
UCSB-IZC00030039,collections,1,dry,55,10.063,17.435,1,53.112,44.93,44,47.173,37.708,39
UCSB-IZC00030369,collections,1,dry,55,30.982,29.273,24,69.708,45.416,65,50.079,39.464,46
UCSB-IZC00036314,collections,1,humid,55,33.703,29.362,26,53.456,38.716,44,32.337,28.175,25
UCSB-IZC00036602,collections,1,dry,55,43.835,29.27,45,79.103,42.908,80,46.629,28.79,49
UCSB-IZC00037139,collections,1,humid,55,82.761,34.036,85,82.117,29.252,86,41.104,16.281,44
UCSB-IZC00038809,collections,1,humid,55,74.385,42.463,82,79.801,38.87,89,37.415,19.771,41
UCSB-IZC00041536,collections,1,humid,55,90.536,40.38,89,114.144,41.079,112,43.074,20.002,45
UCSB-IZC00041550,collections,1,humid,55,72.537,34.852,77,89.5,35.62,94,36.607,19.091,37
UCSB-IZC00042037,collections,1,dry,55,24.947,26.505,15,59.003,39.105,58,41.394,31.129,40
UCSB-IZC00042297,collections,1,dry,55,30.779,30.601,22,79.841,55.319,73,53.43,39.834,52
UCSB-IZC00043430,collections,1,dry,55,9.194,17.546,1,46.498,42.853,34,44.219,40.273,31
UCSB-IZC00047045,collections,1,humid,55,120.627,47.609,116,102.051,37.945,101,39.366,16.052,41
UCSB-IZC00030039,collections,2,humid,0,16.685,23.998,4,79.853,44.806,82,73.383,40.607,75
UCSB-IZC00030369,collections,2,humid,0,37.246,28.983,34,72.917,34.331,77,52.674,27.9,56
UCSB-IZC00036314,collections,2,dry,0,57.215,34.778,56,82.177,42.744,83,54.019,28.648,57
UCSB-IZC00036602,collections,2,humid,0,47.663,32.609,48,89.043,42.721,95,56.22,28.526,59
UCSB-IZC00037139,collections,2,dry,0,93.11,27.658,94,99.515,29.145,102,50.144,14.566,51
UCSB-IZC00038809,collections,2,dry,0,90.505,42.6,98,97.839,40.638,108,45.381,19.249,47
UCSB-IZC00041536,collections,2,dry,0,96.779,41.725,96,120.948,44.511,118,60.419,26.938,59
UCSB-IZC00041550,collections,2,dry,0,86.316,36.458,88,124.094,34.135,127,47.939,18.036,48
UCSB-IZC00042037,collections,2,humid,0,43.349,35.579,42,97.449,43.047,100,70.198,33.894,70
UCSB-IZC00042297,collections,2,humid,0,43.308,34.234,42,112.242,41.027,112,79.584,31.334,77
UCSB-IZC00043430,collections,2,humid,0,18.537,25.675,4,77.645,44.434,78,72.036,40.548,71
UCSB-IZC00047045,collections,2,dry,0,113.296,49.811,113,96.199,41.934,99,43.594,19.157,44
UCSB-IZC00030039,collections,2,humid,7,35.522,29.411,32,77.791,45,73,42.045,24.089,42
UCSB-IZC00030369,collections,2,humid,7,71.279,31.64,77,87.677,37.396,93,43.141,18.19,47
UCSB-IZC00036314,collections,2,dry,7,24.817,25.463,17,49.028,35.044,41,49.888,38.418,40
UCSB-IZC00036602,collections,2,humid,7,105.774,36.838,112,106.394,37.339,114,44.602,15.872,46
UCSB-IZC00037139,collections,2,dry,7,89.995,28.583,92,100.966,32.519,103,50.229,16.713,51
UCSB-IZC00038809,collections,2,dry,7,48.762,34.606,52,100.24,40.574,105,61.426,29.691,61
